process,x_rows,y_rows,row_counts_match,stored_join_key_available,positional_pairing_required,combined_duplicate_rows,unique_target_profiles,later_duplicate_target_rows,repeated_target_groups,rows_in_repeated_target_groups,largest_repeated_target_group,longest_consecutive_target_run,longest_run_start_zero_based,longest_run_end_zero_based,all_zero_target_rows,all_zero_target_indices_zero_based
AlCu,4848,4848,True,False,True,0,3645,1203,512,1715,198,198,1678,1875,1,2586
WTi,1740,1740,True,False,True,0,1647,93,63,156,10,10,162,171,1,936
