alarm_category,observations,mean_row_mae,standard_deviation_row_mae,median_row_mae,p90_row_mae,maximum_row_mae
normal,959,0.006114574833951023,0.004888848188177925,0.004738363667789295,0.012188061802212656,0.03683074257081968
t2 alarm only,5,0.00643744136243002,0.004528831803629923,0.005077966760918464,0.011414559927706708,0.01288926402088858
q alarm only,2,0.007944662431244656,0.004042301444789154,0.007944662431244656,0.010231333441813126,0.010803001194455245
both alarms,4,0.012627097123677645,0.009398641801619305,0.010831476678132538,0.021798746303997776,0.025289680839623453
