process,input_features,model_features,retained_components,retained_explained_variance,primary_assessment_alarm_rate,primary_random_forest_mae,primary_random_forest_rmse,primary_random_forest_r2,grouped_random_forest_rmse,grouped_random_forest_r2,grouped_minus_primary_rmse
AlCu,97,95,34,0.9054594747749584,0.011340206185567,0.0061468682329158,0.0086979839306816,0.6218501595370536,0.0092577947675448,0.5432330814165729,0.0005598108368631994
WTi,108,108,35,0.9015744970674607,0.04310344827586207,0.0051936800784794,0.008284596349354027,0.6042125206820659,0.007665619390219184,0.6903012761469909,-0.000618976959134843
