alarm_category,observations,mean_row_mae,median_row_mae,p90_row_mae,maximum_row_mae
normal,333,0.005118987150427894,0.003473073164011902,0.009814255802407346,0.06190250846132779
t2 alarm only,2,0.003154108166006764,0.003154108166006764,0.0034958110747024254,0.0035812368018763407
q alarm only,7,0.007431864995144423,0.003059688353672475,0.015154938050410939,0.01600006375468723
both alarms,5,0.007850598968367676,0.004190506489937573,0.01666907976597519,0.024945720753945362
