validation,cross_validation_method,random_state,folds,trees,minimum_leaf_size,maximum_feature_share,mean_validation_rmse,standard_deviation_validation_rmse,maximum_validation_rmse,ridge_mean_validation_rmse,rmse_improvement_over_ridge,passes_ten_percent_gate
ordinary fixed split,shuffled 5-fold,11,5,300,5,0.7,0.009341846786121112,0.0006439907867017332,0.010209329057885594,0.015314900282303747,0.3900158268143903,True
ordinary fixed split,shuffled 5-fold,42,5,300,5,0.7,0.009309123211983746,0.0006377333348765345,0.010178324738713255,0.015314900282303747,0.3921525416172401,True
ordinary fixed split,shuffled 5-fold,73,5,300,5,0.7,0.009331042432440725,0.0006397467964086821,0.01021215931927266,0.015314900282303747,0.3907213066726478,True
identical-target-profile sensitivity,grouped 5-fold by exact target profile,11,5,300,5,0.7,0.010157803344089313,0.0008496726379467063,0.011083261792909615,0.01543228303553527,0.34178220288603023,True
identical-target-profile sensitivity,grouped 5-fold by exact target profile,42,5,300,5,0.7,0.010179695750233322,0.0008504377395911242,0.011075499105253721,0.01543228303553527,0.3403635919071103,True
identical-target-profile sensitivity,grouped 5-fold by exact target profile,73,5,300,5,0.7,0.010167059474839691,0.0008857249810287968,0.011077607522425406,0.01543228303553527,0.34118241277532113,True
