process,feature,unique_values,modal_value,modal_count,modal_share,zero_share,mean,standard_deviation,minimum,maximum,constant,near_constant_98_percent,dominant_value_80_percent,duplicate_of
AlCu,Sensor_1,3633,0.1482871374030717,1176,0.24257425742574257,0.00020627062706270627,0.1645467242387443,0.09341239371513624,0.0,0.8575133343875243,False,False,False,
AlCu,Sensor_2,1935,0.3221933461669171,1176,0.24257425742574257,0.00020627062706270627,0.31899280439486716,0.088380226229894,0.0,0.520223473102459,False,False,False,
AlCu,Sensor_3,1519,0.4927464670688946,1176,0.24257425742574257,0.00020627062706270627,0.4907291702113608,0.1381681543122174,0.0,0.8180197721688705,False,False,False,
AlCu,Sensor_4,3632,0.1880117397674688,1176,0.24257425742574257,0.00020627062706270627,0.20796198692117385,0.11676938081685896,0.0,0.9891996309771488,False,False,False,
AlCu,Sensor_5,1934,0.4275192509866087,1178,0.242986798679868,0.00020627062706270627,0.4237699525290864,0.11745838035341036,0.0,0.6914809350925935,False,False,False,
AlCu,Sensor_6,1521,0.4101203585434899,1176,0.24257425742574257,0.00020627062706270627,0.4084740001686015,0.11502787636756207,0.0,0.6808502641392945,False,False,False,
AlCu,Sensor_7,3658,0.410152610052967,1176,0.24257425742574257,0.00020627062706270627,0.4059499049516458,0.11156591422378802,0.0,0.6611748372223099,False,False,False,
AlCu,Sensor_8,3568,0.4470209648121774,1276,0.2632013201320132,0.00020627062706270627,0.43587412957463506,0.09297739913468983,0.0,0.652328461553954,False,False,False,
AlCu,Sensor_9,3673,0.0439151014566259,1176,0.24257425742574257,0.00020627062706270627,0.0531205388154394,0.044884051350278266,0.0,0.6160959394243797,False,False,False,
AlCu,Sensor_10,3440,0.8015072833816665,1332,0.2747524752475248,0.013613861386138614,0.7906510812696607,0.11909622253341187,0.0,0.983963778766655,False,False,False,
AlCu,Sensor_11,3674,0.0,1175,0.24236798679867988,0.24236798679867988,0.044040862743505854,0.06829596720219376,0.0,0.9261326404973814,False,False,False,
