alarm_category,observations,mean_row_mae,standard_deviation_row_mae,median_row_mae,p90_row_mae,maximum_row_mae
normal,959,0.006114574833951023,0.004888848188177925,0.004738363667789301,0.012188061802212652,0.03683074257081969
t2 alarm only,5,0.00643744136243003,0.004528831803629928,0.005077966760918471,0.011414559927706722,0.01288926402088859
q alarm only,2,0.007944662431244665,0.004042301444789167,0.007944662431244665,0.010231333441813144,0.010803001194455264
both alarms,4,0.012627097123677641,0.00939864180161931,0.010831476678132532,0.02179874630399778,0.025289680839623463
