principal_component,explained_variance_ratio,cumulative_explained_variance,retained
1,0.11170214290924882,0.11170214290924882,True
2,0.07366272816263912,0.18536487107188793,True
3,0.06932214013764071,0.25468701120952864,True
4,0.055388659239493654,0.3100756704490223,True
5,0.05261054846525761,0.3626862189142799,True
6,0.05126786357744731,0.41395408249172716,True
7,0.04332725139497992,0.4572813338867071,True
8,0.04085804077497002,0.4981393746616771,True
9,0.03938806206129588,0.537527436722973,True
10,0.03155554532034119,0.5690829820433142,True
11,0.027261993536645573,0.5963449755799598,True
12,0.021966772219150874,0.6183117477991107,True
13,0.02160928836523387,0.6399210361643446,True
14,0.02110535594498843,0.661026392109333,True
15,0.019529828679081106,0.6805562207884142,True
16,0.019236022400017545,0.6997922431884317,True
17,0.018134044617731725,0.7179262878061634,True
18,0.016787101033650536,0.734713388839814,True
19,0.014540966057599691,0.7492543548974137,True
20,0.013105058065972232,0.7623594129633859,True
21,0.012607580946673436,0.7749669939100594,True
22,0.011691659909711953,0.7866586538197714,True
23,0.010987038926886603,0.797645692746658,True
24,0.010559150090825272,0.8082048428374833,True
25,0.009712237092210835,0.8179170799296941,True
26,0.009430427699865318,0.8273475076295594,True
27,0.009270090168623252,0.8366175977981827,True
28,0.009115907048998652,0.8457335048471813,True
29,0.008838984732447935,0.8545724895796293,True
30,0.008560529321398705,0.863133018901028,True
31,0.008323212568513687,0.8714562314695417,True
32,0.008020091647074548,0.8794763231166162,True
33,0.007822832428584043,0.8872991555452002,True
34,0.007171999708808531,0.8944711552540088,True
35,0.0071033418134519065,0.9015744970674607,True
36,0.006463919156810328,0.9080384162242711,False
37,0.005970947296032412,0.9140093635203035,False
38,0.005577789831305059,0.9195871533516086,False
39,0.005365881399036481,0.924953034750645,False
40,0.004911203344514657,0.9298642380951597,False
41,0.004741268527287925,0.9346055066224477,False
42,0.004452914472304944,0.9390584210947526,False
43,0.004296409909848329,0.9433548310046009,False
44,0.0042354037007179355,0.9475902347053189,False
45,0.004118397864068562,0.9517086325693874,False
46,0.0038454914390895793,0.9555541240084771,False
47,0.0035081781132371283,0.9590623021217142,False
48,0.0029319516385087193,0.9619942537602229,False
49,0.0028129847241501124,0.964807238484373,False
50,0.002644205046515651,0.9674514435308886,False
51,0.0025368058730730904,0.9699882494039618,False
52,0.0023868602384618694,0.9723751096424237,False
53,0.0021937056545068153,0.9745688152969305,False
54,0.0021433824510350905,0.9767121977479656,False
55,0.00196233270371169,0.9786745304516773,False
56,0.0017718453516842132,0.9804463758033615,False
57,0.0017546396817133263,0.9822010154850748,False
58,0.0015180278635115354,0.9837190433485863,False
59,0.0014405762513443339,0.9851596195999306,False
60,0.0013487703678117552,0.9865083899677424,False
61,0.0012754340454142281,0.9877838240131566,False
62,0.001209847639043041,0.9889936716521996,False
63,0.0011566013248833133,0.9901502729770829,False
64,0.001050185904074427,0.9912004588811574,False
65,0.0009753592457833365,0.9921758181269407,False
66,0.0008247226072794355,0.9930005407342201,False
67,0.0007597259069431543,0.9937602666411632,False
68,0.0006590243467345893,0.9944192909878978,False
69,0.0005996758928448055,0.9950189668807427,False
70,0.0005805117845198372,0.9955994786652624,False
71,0.0005315973674712181,0.9961310760327337,False
72,0.00047567765927675903,0.9966067536920105,False
73,0.0004577938065767667,0.9970645474985872,False
74,0.00044628150178109555,0.9975108290003682,False
75,0.0004196528115383698,0.9979304818119066,False
76,0.0003993999611285763,0.9983298817730352,False
77,0.0002912433191326285,0.9986211250921678,False
78,0.0002710553619055339,0.9988921804540734,False
79,0.00022979764666556258,0.9991219781007389,False
80,0.0002080743149078329,0.9993300524156468,False
81,0.0001957457982375903,0.9995257982138843,False
82,0.00015709443128405327,0.9996828926451684,False
83,0.0001087903752186109,0.999791683020387,False
84,6.609185934003883e-05,0.999857774879727,False
85,4.994279814336479e-05,0.9999077176778705,False
86,2.008656223403763e-05,0.9999278042401045,False
87,1.8447482176831118e-05,0.9999462517222814,False
88,1.5563815712994956e-05,0.9999618155379943,False
89,1.4388231335007045e-05,0.9999762037693294,False
90,1.3304018975748925e-05,0.9999895077883051,False
91,3.0031420216364847e-06,0.9999925109303267,False
92,1.924104718048535e-06,0.9999944350350447,False
93,1.748061036212568e-06,0.999996183096081,False
94,1.2072112701493023e-06,0.9999973903073511,False
95,9.884052220138319e-07,0.9999983787125731,False
96,4.763762289993782e-07,0.9999988550888022,False
97,4.0680875203791605e-07,0.9999992618975542,False
98,3.1440438880529026e-07,0.999999576301943,False
99,2.1580939470662066e-07,0.9999997921113377,False
100,1.3082511115853983e-07,0.9999999229364489,False
101,4.140614268648916e-08,0.9999999643425916,False
102,2.1454506997302376e-08,0.9999999857970986,False
103,1.1588491247070232e-08,0.9999999973855899,False
104,1.6921291779540811e-09,0.9999999990777191,False
105,9.166633026477957e-10,0.9999999999943824,False
106,4.682196426813093e-12,0.9999999999990645,False
107,9.360494230753695e-13,1.0000000000000007,False
108,5.2630151032931014e-17,1.0000000000000007,False
