observation_index,primary_split,all_zero_output,alarm_category,t2,q,t2_ratio,q_ratio
1113,train,False,t2 alarm only,3804.475832663238,8.535910470332816,14.69937746596082,0.1413713394650216
6,train,False,q alarm only,113.61979497631523,227.8081593943357,0.438993524317591,3.77294780053881
139,test,False,both alarms,46771.488375833025,94717.9304319604,180.71129704085703,1568.713817121244
